id,long_code,nombre,poblacion
3091,22127AA000,Igriés                                                                ,719
3092,22128AA000,Ilche                                                                 ,188
3093,22129AA000,Isábena                                                               ,233
3101,22131AA000,Jasa                                                                  ,102
3103,22135AA000,Laluenga                                                              ,202
3104,22136AA000,Lalueza                                                               ,882
3107,22139AA000,Laperdiguera                                                          ,91
3115,22150AA000,Loporzano                                                             ,580
3117,22151AA000,Loscorrales                                                           ,99
3118,22155AA000,Monesma y Cajigar                                                     ,66
3120,22157AA000,Montanuy                                                              ,241
3121,22158AA000,Monzón                                                                ,17839
3129,22160AA000,Naval                                                                 ,265
3130,22162AA000,Novales                                                               ,172
3133,22165AA000,Ontiñena                                                              ,519
3136,22168AA000,Palo                                                                  ,32
3139,22173AA000,Peñas de Riglos (Las)                                                 ,272
3140,22174AA000,Peralta de Alcofea                                                    ,614
3142,22176AA000,Peraltilla                                                            ,225
3143,22177AA000,Perarrúa                                                              ,113
3146,22181AA000,Piracés                                                               ,96
3147,22182AA000,Plan                                                                  ,281
3151,22184AA000,Poleñino                                                              ,197
3153,22187AA000,Puebla de Castro (La)                                                 ,419
3155,22189AA000,Puértolas                                                             ,222
3156,22190AA000,Pueyo de Araguás (El)                                                 ,173
3159,22193AA000,Pueyo de Santa Cruz                                                   ,329
3162,22199AA000,Sabiñánigo                                                            ,9423
3165,22201AA000,Salas Altas                                                           ,312
3166,22202AA000,Salas Bajas                                                           ,191
3167,22203AA000,Salillas                                                              ,104
3168,22204AA000,Sallent de Gállego                                                    ,1554
3174,22205AA000,San Esteban de Litera                                                 ,620
3185,22214AA000,Secastilla                                                            ,148
3186,22215AA000,Seira                                                                 ,161
3189,22217AA000,Sena                                                                  ,486
3192,22221AA000,Sesué                                                                 ,126
3193,22222AA000,Siétamo                                                               ,686
3194,22223AA000,Sopeira                                                               ,91
3199,22226AA000,Tardienta                                                             ,929
3201,22228AA000,Tierz                                                                 ,823
3202,22229AA000,Tolva                                                                 ,125
3203,22230AA000,Torla-Ordesa                                                          ,312
3206,22232AA000,Torralba de Aragón                                                    ,109
3207,22233AA000,Torre la Ribera                                                       ,97
3208,22234AA000,Torrente de Cinca                                                     ,1121
3209,22235AA000,Torres de Alcanadre                                                   ,82
3210,22236AA000,Torres de Barbués                                                     ,260
3211,22239AA000,Tramaced                                                              ,108
3212,22242AA000,Valfarta                                                              ,62
3213,22243AA000,Valle de Bardají                                                      ,60
3214,22244AA000,Valle de Lierp                                                        ,60
3215,22245AA000,Velilla de Cinca                                                      ,497
3216,22246AA000,Beranuy                                                               ,68
3218,22248AA000,Vicién                                                                ,139
3219,22249AA000,Villanova                                                             ,176
3220,22250AA000,Villanúa                                                              ,553
3221,22251AA000,Villanueva de Sigena                                                  ,341
3223,22253AA000,Yésero                                                                ,63
3227,22902AA000,Puente la Reina de Jaca                                               ,276
3228,22903AA000,San Miguel del Cinca                                                  ,799
3229,22904AA000,Sotonera (La)                                                         ,915
3231,22905AA000,Lupiñén-Ortilla                                                       ,342
3232,22906AA000,Santa María de Dulcis                                                 ,206
3233,22907AA000,Aínsa-Sobrarbe                                                        ,2297
3236,22908AA000,Hoz y Costean                                                         ,240
3237,22909AA000,Vencillón                                                             ,408
2988,22045AA000,Baldellou                                                             ,90
2998,22053AA000,Benabarre                                                             ,1168
3055,22096AA000,Chimillas                                                             ,396
3059,22105AA000,Estopiñán del Castillo                                                ,116
3063,22110AA000,Fonz                                                                  ,886
3080,22122AA000,Hoz de Jaca                                                           ,76
3119,22156AA000,Monflorite-Lascasas                                                   ,468
3132,22164AA000,Olvena                                                                ,67
3134,22167AA000,Osso de Cinca                                                         ,638
3137,22170AA000,Panticosa                                                             ,894
3138,22172AA000,Peñalba                                                               ,726
3145,22178AA000,Pertusa                                                               ,137
3177,22208AA000,Santa Cilia                                                           ,251
3180,22212AA000,Santaliestra y San Quílez                                             ,77
3191,22220AA000,Sesa                                                                  ,157
3225,22901AA000,Valle de Hecho                                                        ,799
2951,22016AA000,Alcampell                                                             ,624
2980,22039AA000,Ayerbe                                                                ,1073
2984,22043AA000,Baélls                                                                ,91
3001,22054AA000,Benasque                                                              ,2306
3003,22057AA000,Bielsa                                                                ,482
3043,22084AA000,Castejón de Sos                                                       ,833
3047,22085AA000,Castelflorite                                                         ,102
3050,22088AA000,Castillazuelo                                                         ,162
3066,22113AA000,Fueva (La)                                                            ,600
3072,22116AA000,Grañén                                                                ,1731
3094,22130AA000,Jaca                                                                  ,13620
3110,22143AA000,Laspaúles                                                             ,234
3131,22163AA000,Nueno                                                                 ,574
