indicador,periodo,codigo_ine,valor,indice,categoria,no_agregar,texto
48,2018,43079,11368.00,,,,
48,2019,43079,11920.00,,,,
48,2020,43079,12410.00,,,,
48,2021,43079,12311.00,,,,
48,2022,43079,13185.00,,,,
48,2023,43079,13686.00,,,,
48,2015,43080,12479.00,,,,
48,2016,43080,14192.00,,,,
48,2017,43080,13327.00,,,,
48,2018,43080,13520.00,,,,
48,2019,43080,14488.00,,,,
48,2020,43080,14220.00,,,,
48,2021,43080,14043.00,,,,
48,2022,43080,15760.00,,,,
48,2023,43080,15539.00,,,,
48,2015,43081,11544.00,,,,
48,2016,43081,12195.00,,,,
48,2017,43081,12106.00,,,,
48,2018,43081,13010.00,,,,
48,2019,43081,13403.00,,,,
48,2020,43081,14085.00,,,,
48,2021,43081,14803.00,,,,
48,2022,43081,15773.00,,,,
48,2023,43081,16180.00,,,,
48,2015,43082,10488.00,,,,
48,2016,43082,10175.00,,,,
48,2017,43082,10944.00,,,,
48,2018,43082,11128.00,,,,
48,2019,43082,11820.00,,,,
48,2020,43082,11117.00,,,,
48,2021,43082,11460.00,,,,
48,2022,43082,12325.00,,,,
48,2023,43082,13319.00,,,,
48,2015,43083,10743.00,,,,
48,2016,43083,10563.00,,,,
48,2017,43083,11157.00,,,,
48,2018,43083,11319.00,,,,
48,2019,43083,12296.00,,,,
48,2020,43083,12106.00,,,,
48,2021,43083,12572.00,,,,
48,2022,43083,13268.00,,,,
48,2023,43083,14072.00,,,,
48,2015,43084,9855.00,,,,
48,2016,43084,10019.00,,,,
48,2017,43084,10206.00,,,,
48,2018,43084,10717.00,,,,
48,2019,43084,10916.00,,,,
48,2020,43084,11164.00,,,,
48,2021,43084,12648.00,,,,
48,2022,43084,12812.00,,,,
48,2023,43084,13830.00,,,,
48,2015,43085,11049.00,,,,
48,2016,43085,11320.00,,,,
48,2017,43085,11339.00,,,,
48,2018,43085,11976.00,,,,
48,2019,43085,13292.00,,,,
48,2020,43085,13383.00,,,,
48,2021,43085,13592.00,,,,
48,2022,43085,13325.00,,,,
48,2023,43085,14555.00,,,,
48,2015,43086,11844.00,,,,
48,2016,43086,12042.00,,,,
48,2017,43086,12743.00,,,,
48,2018,43086,13234.00,,,,
48,2019,43086,13678.00,,,,
48,2020,43086,13743.00,,,,
48,2021,43086,14230.00,,,,
48,2022,43086,14928.00,,,,
48,2023,43086,16054.00,,,,
48,2015,43088,10896.00,,,,
48,2016,43088,11302.00,,,,
48,2017,43088,11461.00,,,,
48,2018,43088,11899.00,,,,
48,2019,43088,12754.00,,,,
48,2020,43088,12717.00,,,,
48,2021,43088,13185.00,,,,
48,2022,43088,13802.00,,,,
48,2023,43088,14586.00,,,,
48,2015,43089,9320.00,,,,
48,2016,43089,10896.00,,,,
48,2017,43089,10619.00,,,,
48,2018,43089,10296.00,,,,
48,2019,43089,11843.00,,,,
48,2020,43089,10839.00,,,,
48,2021,43089,11458.00,,,,
48,2022,43089,12732.00,,,,
48,2023,43089,13895.00,,,,
48,2015,43090,8793.00,,,,
