codigo_ine,meta_ods,promedio_indice,n_indicadores,periodo_max,ods_objetivo
43163,9.1,72.11842105,1,2023,9
43163,9.4,15.86206897,1,2023,9
43163,9.5,77.39287004,1,2021,9
43905,1.2,65.48672566,1,2021,1
43905,10.1,60.32906764,1,2021,10
43905,10.2,89.06359214333334,3,2021,10
43905,11.2,36.56511628,2,2024,11
43905,11.4,45.42809126,1,2024,11
43905,11.6,55.85478548,3,2024,11
43905,11.7,70.44267253333334,3,2018,11
43905,12.4,26.30060254,1,2022,12
43905,12.5,48.70983811,1,2022,12
43905,13.1,58.68764551,2,2020,13
43905,13.2,53.34444671,1,2023,13
43905,14.1,6.0,1,2022,14
43905,15.1,83.41492627,1,2018,15
43905,15.2,0.009822618665,2,2021,15
43905,15.5,19.76923077,1,2019,15
43905,16.6,44.75194526,2,2024,16
43905,17.17,75.76086956500001,2,2024,17
43905,17.8,52.9,1,2024,17
43905,2.2,19.06451726,1,2023,2
43905,2.4,33.75527426,1,2023,2
43905,3.8,84.35,1,2018,3
43905,4.4,44.81327801,1,2024,4
43905,4.a,92.93,1,2018,4
43905,5.2,3.020833333,1,2023,5
43905,5.b,100.0,1,2023,5
43905,6.4,72.95418207,1,2022,6
43905,7.2,4.297389929,1,2022,7
43905,7.3,77.10228847,1,2022,7
43905,8.1,17.61597608,1,2023,8
43905,8.2,67.70098731,1,2022,8
43905,8.4,51.53181461,1,2023,8
43905,8.5,3.020833333,1,2023,8
43905,8.9,47.71023981,1,2022,8
43905,9.1,75.72368421,1,2023,9
43905,9.4,16.4137931,1,2023,9
43905,9.5,100.0,1,2021,9
