codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43079,3,88.7,1,2022
43079,6,53.2408513,2,2023
43080,1,40.196788590000004,3,2024
43080,10,0.0,1,2024
43080,2,36.85166269,1,2026
43080,3,94.4,1,2022
43080,6,72.38493724,1,2023
43081,1,45.333644425,2,2024
43081,10,0.0,1,2024
43081,3,95.5,1,2022
43081,6,81.46760839,2,2023
43082,1,46.111201031,2,2024
43082,10,0.0,1,2024
43082,3,94.0,1,2022
43082,6,40.785164925000004,2,2023
43083,1,41.196788590000004,3,2024
43083,10,0.0,1,2024
43083,2,0.0,1,2026
43083,3,0.0,1,2022
43083,6,61.92468619,1,2023
43084,1,62.085323945,2,2024
43084,10,0.0,1,2024
43084,3,66.6,1,2022
43084,6,58.53569571,2,2023
43085,1,70.439392125,2,2024
43085,6,69.45606695,1,2023
43086,1,71.490648655,2,2024
43086,10,60.21262158,1,2022
43086,3,0.0,1,2022
43086,6,67.585598495,2,2023
43088,1,41.14550654000001,3,2024
43088,10,16.28590817,1,2024
43088,2,3.586426058,1,2026
43088,3,34.0,1,2022
43088,6,62.626725245,2,2023
43089,1,57.046757140000004,2,2024
43089,10,0.0,1,2024
43089,3,12.5,1,2022
43089,6,71.54811715,1,2023
43090,1,87.24083527,2,2024
43090,10,38.92784438,1,2024
43090,3,23.6,1,2022
43090,6,48.73141172,2,2023
43091,1,95.333644425,2,2024
43091,10,0.0,1,2024
43091,3,0.0,1,2022
43091,6,61.92468619,1,2023
43092,1,47.517023375,2,2024
43092,10,60.66500792,1,2024
43092,3,31.2,1,2022
43092,6,38.195809795,2,2023
43093,1,66.96215898,2,2024
43093,10,33.11467994,1,2024
43093,3,78.4,1,2022
43093,6,42.314318959999994,2,2023
43094,1,45.825060200050004,2,2024
43094,10,23.09432255,1,2024
43094,3,57.1,1,2022
43094,6,44.540223305,2,2023
43095,1,39.18670208333333,3,2024
43095,10,64.17100204,1,2024
43095,2,5.958461015,1,2026
43095,3,98.2,1,2022
43095,6,67.79125951500001,2,2023
43096,1,93.044517775,2,2024
43096,10,0.0,1,2024
43096,3,0.0,1,2022
43096,6,58.9958159,1,2023
43097,1,45.333644425,2,2024
43097,10,0.0,1,2024
43097,3,94.1,1,2022
43097,6,43.092635785,2,2023
43098,1,45.333644425,2,2024
43098,10,0.0,1,2024
43098,3,92.1,1,2022
43098,6,74.499123815,2,2023
43099,1,45.333644425,2,2024
43099,10,0.0,1,2024
43099,3,0.0,1,2022
43099,6,56.90376569,1,2023
43100,1,36.709609103333335,3,2024
43100,10,20.58357838,1,2024
43100,2,4.505731472,1,2026
43100,3,99.2,1,2022
43100,6,81.54295927499999,2,2023
43101,1,50.011424967500005,2,2024
43101,10,0.0,1,2024
43101,3,0.0,1,2022
43101,6,71.12970711,1,2023
43102,1,79.18534883000001,2,2024
43102,10,0.0,1,2024
43102,3,0.0,1,2022
43102,6,68.79650136,2,2023
43103,1,36.248070643333335,3,2024
43103,10,82.15335897,1,2024
