indicador,periodo,codigo_ine,valor,umbral
D-24-b,2022,43037,23.90,
D-24-c,2022,43037,26.40,
D-26-a,2022,43037,0.14,
D-26-b,2022,43037,15.34,
D-26-c,2022,43037,10.07,
D-26-d,2022,43037,74.45,
D-27-a,2022,43037,0.12,
D-27-b,2022,43037,10.35,
D-27-c,2022,43037,12.11,
D-27-d,2022,43037,77.42,
D-28-a,2022,43037,8.52,
D-28-b,2022,43037,36.37,
D-28-c,2022,43037,59.06,
D-29,2021,43037,454.38,
D-32,2021,43037,1.85,
D-33,2021,43037,-0.56,
D-34,2021,43037,2.50,
D-35,2021,43037,15.64,
D-ST-6,2022,43037,19.65,
D-ST-7,2022,43037,89.27,
D-37,2022,43037,PG,
D-38,2022,43037,"2,003.00",
D-1,2022,43905,4.87,
D-2-a,2018,43905,36.61,
D-2-b,2018,43905,29.75,
D-2-d,2018,43905,21.73,
D-3-a,2018,43905,0.22,
D-3-b,2018,43905,0.63,
D-4,2022,43905,65.36,
D-5,2018,43905,2.00,
D-6,2022,43905,115.19,
D-7,2018,43905,0.00,
D-8,2022,43905,44.42,
D-9,2022,43905,20.02,
D-10-a,2018,43905,0.51,
D-10-b,2018,43905,56.89,
D-ST-1,2022,43905,7.28,
D-ST-2,2022,43905,19.93,
D-ST-3,2022,43905,16.09,
D-ST-4,2022,43905,1.68,
D-ST-5,2022,43905,5.57,
D-14,2022,43905,33.54,
D-17-a,2021,43905,117.52,
D-17-b,2021,43905,5.81,
D-18-a,2022,43905,536.77,
D-18-b,2022,43905,70.90,
D-18-c,2022,43905,15.70,
D-22-a,2022,43905,16.50,
D-22-b,2022,43905,9.60,
D-23,2022,43905,8.20,
D-24-a,2022,43905,47.30,
D-24-b,2022,43905,22.90,
D-24-c,2022,43905,26.10,
D-26-a,2022,43905,0.67,
D-26-b,2022,43905,12.09,
D-26-c,2022,43905,11.08,
D-26-d,2022,43905,76.17,
D-27-a,2022,43905,1.31,
D-27-b,2022,43905,7.46,
D-27-c,2022,43905,12.48,
D-27-d,2022,43905,78.75,
D-28-a,2022,43905,6.86,
D-28-b,2022,43905,32.44,
D-28-c,2022,43905,58.29,
D-29,2021,43905,397.93,
D-32,2021,43905,0.72,
D-33,2021,43905,-3.73,
D-34,2021,43905,2.43,
D-35,2021,43905,9.82,
D-ST-6,2022,43905,3.72,
D-ST-7,2022,43905,14.80,
D-37,2022,43905,PG,
D-38,2022,43905,"1,976.00",
D-1,2010,43148,3.13,
D-2-a,2010,43148,51.46,
D-2-b,2010,43148,28.35,
D-2-d,2010,43148,12.33,
D-3-a,2010,43148,0.33,
D-3-b,2010,43148,0.58,
D-4,2010,43148,40.77,
D-5,2010,43148,2.32,
D-6,2010,43148,89.91,
D-7,2010,43148,3.84,
D-8,2010,43148,38.70,
D-9,2010,43148,0.96,
D-10-a,2010,43148,0.46,
D-10-b,2010,43148,47.32,
D-ST-1,2010,43148,30.33,
D-ST-2,2010,43148,31.05,
D-ST-3,2010,43148,26.98,
D-ST-4,2010,43148,13.48,
D-ST-5,2010,43148,17.56,
D-14,2010,43148,76.70,
D-17-a,2010,43148,100.09,
D-17-b,2010,43148,6.69,
D-18-a,2010,43148,538.89,
D-18-b,2010,43148,72.39,
D-18-c,2010,43148,9.90,
D-22-a,2010,43148,17.36,
D-22-b,2010,43148,19.01,
D-23,2010,43148,12.83,
D-24-a,2010,43148,48.78,
D-24-b,2010,43148,22.95,
D-24-c,2010,43148,26.20,
D-26-a,2010,43148,0.28,
D-26-b,2010,43148,21.12,
D-26-c,2010,43148,4.69,
D-26-d,2010,43148,73.91,
D-27-a,2010,43148,0.17,
D-27-b,2010,43148,10.96,
D-27-c,2010,43148,5.88,
D-27-d,2010,43148,82.99,
D-28-a,2010,43148,9.28,
D-28-b,2010,43148,37.72,
D-28-c,2010,43148,54.77,
D-29,2010,43148,430.56,
D-32,2010,43148,22.49,
D-33,2010,43148,16.77,
D-ST-6,2010,43148,24.04,
D-ST-7,2010,43148,103.46,
D-1,2010,43123,5.96,
D-10-a,2010,43123,0.63,
D-10-b,2010,43123,55.11,
D-14,2010,43123,69.30,
D-17-a,2010,43123,100.52,
D-17-b,2010,43123,4.48,
D-18-a,2010,43123,495.60,
D-18-b,2010,43123,68.57,
D-18-c,2010,43123,16.37,
D-2-a,2010,43123,43.07,
D-2-b,2010,43123,12.77,
D-2-d,2010,43123,38.58,
D-22-a,2010,43123,17.03,
D-22-b,2010,43123,18.47,
D-23,2010,43123,15.31,
D-24-a,2010,43123,50.70,
D-24-b,2010,43123,25.04,
D-24-c,2010,43123,26.04,
D-26-a,2010,43123,1.42,
D-26-b,2010,43123,11.94,
D-26-c,2010,43123,5.13,
D-26-d,2010,43123,81.51,
D-27-a,2010,43123,0.79,
D-27-b,2010,43123,12.66,
D-27-c,2010,43123,6.45,
D-27-d,2010,43123,80.10,
D-28-a,2010,43123,11.64,
D-28-b,2010,43123,37.76,
D-28-c,2010,43123,54.87,
D-29,2010,43123,430.75,
D-3-a,2010,43123,0.14,
D-3-b,2010,43123,0.32,
D-32,2010,43123,24.39,
D-33,2010,43123,16.29,
D-4,2010,43123,51.95,
D-5,2010,43123,1.65,
D-6,2010,43123,137.60,
D-7,2010,43123,21.70,
D-8,2010,43123,59.25,
D-9,2010,43123,1.13,
D-ST-1,2010,43123,23.43,
D-ST-2,2010,43123,33.84,
D-ST-3,2010,43123,28.78,
D-ST-4,2010,43123,16.78,
D-ST-5,2010,43123,4.29,
D-ST-6,2010,43123,10.99,
D-ST-7,2010,43123,47.33,
D-1,2010,43163,7.20,
D-2-a,2010,43163,46.06,
D-2-b,2010,43163,16.08,
D-2-d,2010,43163,39.10,
D-3-a,2010,43163,0.07,
D-3-b,2010,43163,0.16,
D-4,2010,43163,49.28,
D-5,2010,43163,4.53,
D-6,2010,43163,52.80,
D-7,2010,43163,54.33,
D-8,2010,43163,23.08,
D-9,2010,43163,0.47,
D-10-a,2010,43163,0.27,
D-10-b,2010,43163,56.63,
D-ST-1,2010,43163,10.39,
D-ST-2,2010,43163,104.82,
D-ST-3,2010,43163,98.42,
D-ST-4,2010,43163,62.66,
D-ST-5,2010,43163,36.97,
D-14,2010,43163,69.00,
D-17-a,2010,43163,77.37,
D-17-b,2010,43163,2.41,
D-18-a,2010,43163,537.61,
D-18-b,2010,43163,71.71,
D-18-c,2010,43163,11.57,
D-22-a,2010,43163,15.08,
D-22-b,2010,43163,14.80,
D-23,2010,43163,10.49,
D-24-a,2010,43163,47.91,
D-24-b,2010,43163,25.61,
D-24-c,2010,43163,22.64,
D-26-a,2010,43163,0.14,
D-26-b,2010,43163,38.84,
D-26-c,2010,43163,7.91,
D-26-d,2010,43163,53.11,
D-27-a,2010,43163,0.13,
D-27-b,2010,43163,19.74,
D-27-c,2010,43163,10.84,
D-27-d,2010,43163,69.29,
D-28-a,2010,43163,9.79,
D-28-b,2010,43163,37.49,
D-28-c,2010,43163,57.74,
D-29,2010,43163,437.30,
D-32,2010,43163,33.60,
D-33,2010,43163,17.08,
D-ST-6,2010,43163,24.16,
D-ST-7,2010,43163,105.63,
D-1,2010,43038,4.55,
D-2-a,2010,43038,32.74,
D-2-b,2010,43038,12.54,
D-2-d,2010,43038,50.76,
D-3-a,2010,43038,0.15,
D-3-b,2010,43038,0.54,
D-4,2010,43038,67.17,
D-5,2010,43038,1.52,
D-6,2010,43038,128.33,
D-8,2010,43038,53.59,
D-9,2010,43038,1.08,
D-10-a,2010,43038,0.54,
D-10-b,2010,43038,50.38,
D-ST-1,2010,43038,47.47,
D-ST-2,2010,43038,10.81,
D-ST-3,2010,43038,1.43,
D-ST-4,2010,43038,8.90,
D-14,2010,43038,78.00,
D-17-a,2010,43038,53.65,
D-17-b,2010,43038,4.49,
D-18-a,2010,43038,508.15,
D-18-b,2010,43038,69.56,
D-18-c,2010,43038,16.35,
D-22-a,2010,43038,18.25,
D-22-b,2010,43038,13.67,
D-23,2010,43038,6.20,
D-24-a,2010,43038,53.52,
D-24-b,2010,43038,25.51,
D-24-c,2010,43038,28.51,
D-26-a,2010,43038,0.24,
D-26-b,2010,43038,11.13,
D-26-c,2010,43038,6.04,
D-26-d,2010,43038,82.59,
D-27-a,2010,43038,0.36,
D-27-b,2010,43038,10.05,
D-27-c,2010,43038,7.90,
D-27-d,2010,43038,81.69,
D-28-a,2010,43038,7.41,
D-28-b,2010,43038,37.02,
D-28-c,2010,43038,57.35,
D-29,2010,43038,417.82,
D-32,2010,43038,16.81,
D-33,2010,43038,11.30,
D-ST-6,2010,43038,9.09,
D-ST-7,2010,43038,37.97,
D-1,2010,43155,0.71,
D-2-a,2010,43155,60.49,
D-2-b,2010,43155,0.00,
D-2-d,2010,43155,38.04,
D-3-a,2010,43155,0.00,
D-3-b,2010,43155,0.00,
D-4,2010,43155,37.41,
D-5,2010,43155,0.62,
D-6,2010,43155,275.02,
D-7,2010,43155,0.36,
D-8,2010,43155,113.46,
D-9,2010,43155,1.41,
D-10-a,2010,43155,0.94,
