codigo_ine,ods_objetivo,promedio_metas,n_metas
43024,15,16.604571710000002,2
43024,16,53.44944583,1
43024,17,34.1604191825,2
43024,2,13.83536248575,2
43024,4,55.622619070569996,5
43024,5,64.75881226,3
43024,6,97.46568999,1
43024,7,73.66883751,1
43024,8,74.656609195,3
43025,1,51.779432506250004,4
43025,10,52.973989295,3
43025,11,65.250315305,5
43025,12,69.016822455,2
43025,13,0.0,1
43025,15,92.59031758500001,2
43025,16,0.0,1
43025,17,2.51785747,2
43025,2,30.52580729,2
43025,4,64.4973804726,5
43025,5,99.37777777666668,3
43025,6,100.0,1
43025,7,87.22042994,1
43025,8,97.37666666666667,3
43026,1,56.07050114125,4
43026,10,36.02777180611111,3
43026,11,57.5117604206,5
43026,12,71.64802276500001,2
43026,13,24.3,1
43026,15,67.7665716475,2
43026,16,0.0,1
43026,17,26.72335507,2
43026,2,34.3929316675,2
43026,4,45.785774084399996,5
43026,5,100.0,3
43026,6,100.0,1
43026,7,86.19420362,1
43026,8,98.44666666666667,3
43027,1,11.11111111,1
43027,10,29.319268665,2
43027,11,56.03630846833334,3
43027,12,82.15,2
43027,13,31.9,1
43027,15,69.7531302545,2
43027,17,28.209320595,2
43027,2,25.516962958249998,2
43027,4,100.0,1
43027,5,83.57279693666668,3
43027,6,100.0,1
43027,7,93.25774375,1
43027,8,98.13666666666666,3
43028,1,39.70307948995333,5
43028,10,52.97123544722222,3
43028,11,40.113092402,5
43028,12,63.25180103,2
43028,13,27.8,1
43028,15,51.734406050000004,2
43028,16,55.6887582,1
43028,17,39.77283107,2
43028,2,16.4779841175,2
43028,4,86.7,1
43028,5,85.30363984666667,3
43028,6,83.97182229,1
43028,7,48.83346082,1
43028,8,91.44,3
43029,1,64.017714355,2
43029,10,51.92073094,2
43029,11,50.347009373000006,5
43029,12,83.5593729225,2
43029,13,0.0,1
43029,15,58.103219925,2
43029,16,0.0,1
43029,17,29.633807705,2
43029,2,29.766892348749998,2
43029,4,100.0,1
43029,5,96.88218390666667,3
43029,6,100.0,1
43029,7,91.23291935,1
43029,8,94.31822244166666,3
43030,1,28.208415447500002,4
43030,10,35.53529963872222,3
43030,11,71.587696308,5
43030,12,58.468292085,2
43030,13,83.6,1
43030,15,71.39546891750001,2
43030,16,16.12757295,1
43030,17,7.2337776585,2
43030,2,21.6842844125,2
43030,4,50.31664251297,5
43030,5,61.490613026666665,3
43030,6,100.0,1
43030,7,100.0,1
43030,8,83.22528735666667,3
43031,1,72.45407270375,4
43031,10,64.61858048055556,3
43031,11,45.309943915000005,5
43031,12,68.6734114125,2
43031,13,68.2,1
43031,15,36.9785307,2
43031,16,3.121465732,1
43031,17,20.12449637575,2
43031,2,33.071909939875,2
43031,4,100.0,1
43031,5,96.07758620666668,3
43031,6,100.0,1
43031,7,87.18894098,1
43031,8,94.74017241333333,3
43031,9,38.12199037,1
43032,1,61.818420925,3
43032,10,43.32991992388889,3
43032,11,50.5982595325,4
43032,12,82.41212949,2
43032,13,97.5,1
43032,15,75.5273550125,2
43032,16,0.0,1
43032,17,31.2526575925,2
43032,2,29.6805281625,2
43032,4,57.8516856149,5
43032,5,90.71609195333333,3
43032,6,100.0,1
43032,7,89.30171729,1
43032,8,98.14333333333333,3
43033,1,63.3478480695,4
43033,10,74.81407461944444,3
43033,11,43.0986996746,5
43033,12,87.58496396999999,2
43033,13,97.2,1
43033,15,32.49624128725,2
43033,16,0.0,1
43033,17,18.368768355,2
43033,2,43.983918886249995,2
43033,4,62.766092265199994,5
43033,5,98.59195402333334,3
43033,6,100.0,1
43033,7,32.41396035,1
43033,8,95.77839080333335,3
43033,9,75.12038523,1
43034,1,53.201954490599995,5
43034,10,58.54502018388889,3
43034,11,39.9788269366,5
43034,12,84.4908602925,2
43034,13,0.0,1
43034,15,35.384831164925,2
43034,16,0.0,1
43034,17,19.733007291925,2
43034,2,22.759960693750003,2
43034,4,68.76136088076001,5
43034,5,99.38218390666667,3
43034,6,100.0,1
43034,7,0.0,1
43034,8,80.08,3
43035,1,43.652178594999995,2
43035,10,36.698146682,2
43035,11,46.953971771000006,5
43035,12,86.4132688075,2
43035,13,63.8,1
43035,15,93.3420738775,2
43035,16,0.0,1
43035,17,25.0,2
43035,2,31.93193349875,2
43035,4,100.0,1
43035,5,89.76781609333334,3
43035,6,100.0,1
43035,7,100.0,1
43035,8,97.35114942666667,3
43036,1,32.215136334,4
43036,10,53.42840264777777,3
43036,11,54.871981896659996,5
43036,12,65.24314276999999,2
43036,13,88.9,1
43036,15,61.7977706125,2
43036,16,20.01809545,1
43036,17,23.394188819999997,2
43036,2,20.08917398575,2
43036,4,52.30239931692999,5
43036,5,61.79137931,3
43036,6,100.0,1
43036,7,0.0,1
43036,8,76.008390805,3
43037,1,56.32014026,4
43037,10,39.45728871222223,3
43037,11,27.441764564,5
43037,12,53.423601902499996,2
43037,13,75.7,1
43037,14,60.0,1
43037,15,8.762383145,2
43037,16,43.05812652,3
43037,17,37.337965615,2
43037,2,17.224702178250002,2
43037,3,88.58533541177776,6
43037,4,59.91109373005833,6
43037,5,74.76800766333334,3
43037,6,40.381569821,2
43037,7,96.53850701,1
43037,8,70.22907099319998,3
43037,9,3.210272873,1
43038,1,61.07168303333333,4
43038,10,47.716283762222226,3
43038,11,22.616057102600003,5
43038,12,44.098818148499994,2
43038,13,58.8,1
43038,14,46.666666666666664,1
43038,15,0.21626901075,2
43038,16,44.97380398333333,3
43038,17,46.00198846,2
43038,2,18.819572265374997,2
43038,3,46.93912094155556,6
43038,4,56.180275986625,6
43038,5,88.25919540333332,3
43038,6,60.74836519,2
43038,7,84.64545365,1
43038,8,80.80294801166667,3
43038,9,4.895666132,1
43039,1,100.0,1
43039,10,75.75807538333333,2
43039,11,82.00320493125,4
43039,12,66.96502495749999,2
43039,13,39.9,1
43039,15,99.10765688000001,2
43039,16,0.0,1
43039,17,42.3208315825,2
43039,2,16.7678038795,2
43039,5,78.09777778,3
43039,6,100.0,1
43039,7,91.51366572,1
43039,8,82.29596979666667,3
43040,1,62.178619755,2
43040,10,43.71801360333333,2
43040,11,53.42220651375,4
43040,12,93.975794175,2
43040,13,79.4,1
43040,15,96.80918564499999,2
43040,16,0.0,1
43040,17,25.0,2
43040,2,28.56978897625,2
43040,4,100.0,1
43040,5,91.64999999999999,3
43040,6,100.0,1
43040,7,100.0,1
43040,8,97.02666666666666,3
43041,1,44.44444444,1
43041,10,32.196470545000004,2
43041,11,70.799840321,4
43041,12,61.9546675075,2
43041,13,79.2,1
43041,15,69.392630626,2
43041,16,0.0,1
43041,17,31.6199425,2
43041,2,25.41401806625,2
43041,4,100.0,1
43041,5,93.57758620666668,3
43041,6,91.03028262,1
43041,7,98.61762272,1
43041,8,91.667471265,3
43042,1,70.3627960614,5
43042,10,74.69332349277778,3
43042,11,55.772605541000004,5
43042,12,98.1,2
43042,13,99.5,1
43042,15,10.54137017,2
43042,16,20.78715223,1
43042,17,30.7523974625,2
43042,2,28.70662460625,2
43042,4,68.73704360629999,5
43042,5,94.35536398333333,3
43042,6,100.0,1
43042,7,100.0,1
43042,8,92.957704115,3
43043,1,64.81215892826667,5
43043,10,71.93380700111112,3
43043,11,49.842088612,5
43043,12,64.779905105,2
43043,13,58.0,1
43043,15,25.109322724000002,2
43043,16,49.24225288,1
43043,17,32.10462376,2
43043,2,10.543331988624999,2
43043,4,0.0,1
43043,5,82.89042145333333,3
43043,6,91.05834807,1
43043,7,83.28129411,1
43043,8,85.48716252833333,3
43044,1,49.43573946666667,4
43044,10,33.64791377777778,3
43044,11,62.98799991999999,5
43044,12,88.0406926675,2
43044,13,80.7,1
43044,15,87.238095695,2
43044,16,31.48608912,1
43044,17,21.8113248075,2
43044,2,21.90791655875,2
43044,4,99.7,1
43044,5,94.16666666666667,3
43044,6,100.0,2
43044,7,84.17010311,1
43044,8,68.05257970000001,3
43044,9,14.36597111,1
43045,1,100.0,1
43045,10,37.22502311333333,2
43045,11,76.63000585,4
43045,12,87.3,2
43045,13,42.8,1
43045,15,98.98295596,2
43045,16,0.0,1
43045,17,25.0,2
43045,2,26.1489835245,2
43045,5,84.10440613,3
43045,6,100.0,1
43045,7,97.43841556,1
43045,8,98.13,3
43046,1,50.0,2
43046,10,42.639945665,2
43046,11,60.4554986988,5
43046,12,79.1067515675,2
43046,13,0.0,1
43046,15,66.920488395,2
43046,16,0.0,1
43046,17,50.0,2
43046,2,22.16088328125,2
43046,5,90.64888889000001,3
43046,6,100.0,1
43046,7,86.45600836,1
43046,8,95.47045977,3
43047,1,23.716831656666663,5
43047,10,30.007312739444444,3
43047,11,33.2308493476,5
43047,12,50.450441489999996,2
43047,13,75.9,1
43047,15,0.0,2
43047,16,31.44085049,1
43047,17,17.5048868275,2
43047,2,24.118389123625,2
43047,4,54.775424077770005,5
43047,5,76.28697318,3
43047,6,54.81748437500001,2
43047,7,22.68435518,1
43047,8,87.54629614166667,3
43047,9,11.79775281,1
43048,1,52.28553015625,4
43048,10,34.58117106722222,3
43048,11,60.916093914600005,5
43048,12,92.4,2
43048,13,0.0,1
43048,15,65.15682567249999,2
43048,16,0.0,1
43048,17,29.6454452225,2
43048,2,24.400299390125,2
43048,4,40.27274736627,5
43048,5,92.06666666666666,3
43048,6,100.0,1
43048,7,100.0,1
43048,8,97.50999999999999,3
43049,1,50.4100028,3
43049,10,56.77368961611111,3
43049,11,67.411702053,5
43049,12,55.503195485,2
43049,13,0.0,1
43049,15,88.39310750000001,2
43049,16,46.12078715,1
43049,17,24.384736787500003,2
43049,2,25.868145055,2
43049,4,52.99756860648999,5
43049,5,91.86551723999999,3
43049,6,100.0,1
43049,7,96.25872582,1
43049,8,97.90333333333335,3
43050,1,67.77995974083333,4
43050,10,44.71327243555555,3
43050,11,18.52374952636,5
43050,12,35.85,2
43050,13,70.4,1
43050,14,50.035,1
43050,15,30.021088305,2
43050,16,79.16760914,1
43050,17,24.02994209,2
43050,2,14.139805531250001,2
43050,4,66.18143746936,5
43050,5,94.64080459666667,3
43050,6,70.80351379,1
43050,7,84.78733492,1
43050,8,93.274310345,3
43051,1,52.34806969,4
43051,10,40.26352019,3
43051,11,28.278657045,5
43051,12,67.75,2
43051,13,42.3,1
43051,14,66.66666666666667,1
43051,15,11.8320078125,2
43051,16,82.76408052,1
43051,17,45.4909739275,2
43051,2,0.249737118875,2
43051,3,87.45658938000001,6
43051,4,65.1475356706,5
43051,5,92.81609195333333,3
43051,6,47.392719825,2
43051,7,100.0,1
43051,8,65.33530583833333,3
43052,1,31.1525790846,5
43052,10,26.694687335277777,3
43052,11,50.243578657,5
43052,12,66.578703555,2
43052,13,0.0,1
43052,15,56.945629036,2
43052,16,0.0,1
43052,17,31.1377628375,2
43052,2,44.605367423749996,2
43052,4,71.49435188301,5
43052,5,88.06973180333334,3
43052,6,100.0,1
43052,7,92.54266693,1
43052,8,92.51672413833334,3
43053,1,65.558835995,2
43053,10,38.72617387333333,2
43053,11,66.506947998,5
43053,12,86.7703948025,2
43053,13,69.6,1
43053,15,67.947610825,2
43053,16,4.071477041,1
43053,17,34.8147573025,2
43053,2,28.9078715125,2
43053,4,100.0,1
43053,5,62.94540229999999,3
43053,6,100.0,1
43053,7,100.0,1
43053,8,93.16172413666668,3
43054,1,64.35553438646667,5
43054,10,57.41087018333334,3
43054,11,46.034972684,5
43054,12,90.26101695,2
43054,13,0.0,1
43054,15,53.50501681,2
43054,16,0.0,1
43054,17,24.272893607500002,2
43054,2,23.5592424,2
43054,4,60.7,1
43054,5,81.19501915666667,3
43054,6,100.0,1
43054,7,84.75801762,1
43054,8,95.74390804666666,3
43055,1,55.973383079333324,5
43055,10,57.306928959888886,3
43055,11,56.8052949174,5
43055,12,90.444773165,2
43055,13,32.1,1
43055,15,71.35642498,2
43055,16,3.030988464,1
43055,17,12.7234064425,2
43055,2,31.71125724275,2
43055,4,63.31460730445,5
43055,5,80.83582375333333,3
43055,6,50.0,2
43055,7,91.95752731,1
43055,8,88.05584591833333,3
43056,1,76.2114826425,2
43056,10,51.26025599,3
43056,11,62.99868023525,4
43056,12,82.76448981,2
43056,13,13.3,1
43056,15,67.4172851,2
43056,16,0.0,1
43056,17,34.766802462499996,2
43056,2,25.698947820625,2
43056,4,100.0,1
43056,5,97.45689655333332,3
43056,6,100.0,1
43056,7,94.73000331,1
43056,8,97.60666666666667,3
43057,1,100.0,1
43057,10,81.00775193999999,2
43057,11,74.99963094625,4
43057,12,62.458037245,2
43057,13,0.0,1
43057,15,100.0,2
43057,16,0.0,1
43057,17,16.2475565875,2
43057,2,20.900848986375,2
43057,5,62.54099616666667,3
43057,6,100.0,1
43057,7,81.92328759,1
43057,8,88.89620689666667,3
43058,1,48.148148146666664,3
43058,10,27.867749926666665,2
43058,11,74.368516619,4
43058,12,78.66983616499999,2
43058,13,60.2,1
43058,15,97.855497985,2
43058,16,0.0,1
43058,17,26.9108862055,2
43058,2,26.593875226374998,2
43058,5,59.98222222333334,3
43058,6,97.98490079,1
43058,7,81.75594972,1
43058,8,97.14235632166667,3
43059,1,100.0,1
43059,10,51.222592520000006,2
43059,11,69.84075278499999,4
43059,12,72.7321582,2
43059,13,0.0,1
43059,15,75.634548065,2
43059,16,0.0,1
43059,17,5.7404227325,2
43059,2,21.080767843125003,2
43059,4,100.0,1
43059,5,74.10555555666667,3
43059,6,100.0,1
43059,7,0.0,1
43059,8,85.79050699999999,3
43060,1,38.61708246833334,4
43060,10,50.66158235888889,3
43060,11,68.048476894,5
43060,12,96.6720288225,2
43060,13,4.6,1
43060,15,59.22722158175,2
43060,16,6.989368921,1
43060,17,28.7325394275,2
43060,2,23.098622733750002,2
43060,4,68.48072185443,5
43060,5,94.68390804666667,3
43060,6,25.97737925,1
43060,7,5.63242132,1
43060,8,93.01948275833333,3
43061,1,50.0,2
43061,10,50.0,2
43061,11,93.95441575375,4
43061,12,41.25,2
43061,13,26.2,1
43061,15,59.561472377499996,2
43061,16,0.0,1
43061,17,50.0,2
43061,2,25.0,2
43061,5,72.44444444333334,3
43061,6,100.0,1
43061,7,81.05860807,1
43061,8,90.48419540166667,3
43062,1,69.81993142,3
43062,10,35.6898565321,2
43062,11,65.10670925875,4
43062,12,84.96485493750001,2
43062,13,72.1,1
43062,15,56.869132837500004,2
43062,16,0.0,1
43062,17,25.0813246375,2
43062,2,45.18297412375,2
43062,4,100.0,1
43062,5,69.09118774,3
43062,6,100.0,1
43062,7,98.69604349,1
43062,8,82.63769393333332,3
43063,1,43.571130483750004,4
43063,10,22.029375428888887,3
43063,11,57.165799649200004,5
43063,12,71.85561693,2
43063,15,50.46653396375,2
43063,16,0.0,1
43063,17,35.13491295,2
43063,2,32.8858066775,2
43063,4,100.0,1
43063,5,99.16666666666667,3
43063,6,91.60001123,1
43063,7,40.60784546,1
43063,8,80.48511494333333,3
43064,1,45.36869807706,5
43064,10,50.389153052833336,3
43064,11,57.392448878,5
43064,12,89.05185929749999,2
43064,13,65.6,1
43064,15,68.131997555,2
43064,16,42.04931011,1
43064,17,29.8918504175,2
43064,2,19.37428100875,2
43064,4,61.071018798909996,5
43064,5,91.49616858,3
43064,6,68.45238094999999,2
43064,7,89.87081082,1
43064,8,77.653948915,3
43065,1,30.18500595375,4
43065,10,33.411009828888886,3
43065,11,65.027550185,5
43065,12,97.55,2
43065,13,78.5,1
43065,15,82.024951475,2
43065,16,0.0,1
43065,17,24.048025154999998,2
43065,2,34.41724948625,2
43065,4,70.13713720799001,5
43065,5,88.66149425333333,3
43065,6,100.0,1
43065,7,96.98731514,1
43065,8,94.09747126500001,3
43066,1,77.47570427,2
43066,10,62.54847213666666,2
43066,11,82.43321790875,4
43066,12,95.0318549375,2
43066,13,56.8,1
43066,15,35.669813405,2
43066,16,0.0,1
43066,17,13.3382962775,2
43066,2,26.1333557525,2
43066,5,63.60632184,3
43066,6,76.99475176,1
43066,7,85.90983783,1
43066,8,94.59764367833334,3
43067,1,64.80979932999999,3
43067,10,39.52713547333334,3
43067,11,64.449887127,5
43067,12,96.6704974275,2
43067,13,91.9,1
43067,15,51.002167890475,2
43067,16,0.0,1
43067,17,29.907835365,2
43067,2,39.21317581625,2
43067,4,61.07223877812,5
43067,5,88.48908046000001,3
43067,6,100.0,1
43067,7,98.5681573,1
43067,8,94.91149425333333,3
43068,1,47.89867582833333,3
43068,10,31.445759086444443,3
43068,11,46.8824753105,4
43068,12,78.40608252999999,2
43068,13,86.0,1
43068,15,67.6172091975,2
43068,16,0.0,1
43068,17,35.275744849999995,2
43068,2,30.80585291375,2
43068,4,53.66299681067001,5
43068,5,87.21850574666666,3
43068,6,100.0,1
43068,7,71.88192968,1
43068,8,93.96729885,3
43069,1,100.0,1
43069,10,36.291259878333335,2
43069,11,54.3251359825,4
43069,12,77.581259515,2
43069,13,75.7,1
43069,15,74.5979989125,2
43069,16,0.0,1
43069,17,36.032851495,2
43069,2,28.6179530875,2
43069,4,100.0,1
43069,5,65.8045977,3
43069,6,100.0,1
43069,7,61.39767537,1
43069,8,98.24666666666667,3
43070,1,72.542748185,2
43070,10,43.66283124166667,2
43070,11,79.006957511,5
43070,12,83.62969648,2
43070,13,88.6,1
43070,15,50.205365102500004,2
43070,16,0.0,1
43070,17,23.06894889,2
43070,2,35.52673379,2
43070,4,100.0,1
43070,5,75.94463601666666,3
43070,6,100.0,1
43070,7,88.20020703,1
43070,8,98.05764367833335,3
43071,1,39.8140887626,5
43071,10,33.19439135333334,3
43071,11,57.034980652499996,6
43071,12,71.046764715,2
43071,13,0.0,1
43071,15,89.45821583,2
43071,16,0.0,1
43071,17,24.1102721675,2
43071,2,27.709986914125,2
43071,4,56.81634079257001,5
43071,5,92.75900383333334,3
43071,6,100.0,1
43071,7,92.36519469,1
43071,8,96.96666666666665,3
43072,1,50.0,2
43072,10,54.904359588333335,2
43072,11,77.2772519375,4
43072,12,69.608870375,2
43072,13,72.4,1
43072,15,98.67482968249999,2
43072,16,0.0,1
43072,17,32.36220976,2
43072,2,28.935321815000002,2
43072,5,88.88888888999999,3
43072,6,96.90999411,1
43072,7,86.15052928,1
43072,8,98.81666666666666,3
43073,1,100.0,1
43073,10,27.18793584333333,2
43073,11,96.17950912666667,3
43073,12,82.8189688425,2
43073,13,42.5,1
43073,15,61.452313975,2
43073,16,0.0,1
43073,17,50.0,2
43073,2,17.4815983175,2
43073,5,69.85111111,3
43073,6,100.0,1
43073,7,84.67368512,1
43073,8,88.58546872666666,3
43074,1,41.2061116042,5
43074,10,62.146217420166664,3
43074,11,23.441544643,5
43074,12,93.410139045,2
43074,13,52.4,1
43074,15,4.130685089,2
43074,16,45.17077584,1
43074,17,28.73102824,2
43074,2,26.345920989,2
43074,4,65.9944155831,5
43074,5,87.83237547666666,3
43074,6,100.0,1
